variable,ID,strain,media,condition,biorep,expt
12,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
13,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
14,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
15,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,c,2023_complementation1
16,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
17,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
18,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
19,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
22,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
23,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
24,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
25,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
26,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
27,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
28,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
29,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
32,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
33,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
34,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
35,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,b,2023_complementation1
36,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
37,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,d,2023_complementation1
38,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
39,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
42,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
43,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
44,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
45,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
46,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
47,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
48,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
49,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
52,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
53,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
54,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
55,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
56,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
57,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
58,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
59,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
62,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,b,2023_complementation1
63,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
64,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
65,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
66,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
67,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
68,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,b,2023_complementation1
69,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,d,2023_complementation1
72,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,a,2023_complementation1
73,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
74,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
75,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
76,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,b,2023_complementation1
77,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
78,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
79,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,c,2023_complementation1
83,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
84,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
85,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
86,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
87,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
88,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
89,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
112,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
113,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,c,2023_complementation1
114,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,c,2023_complementation1
115,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
117,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
118,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
119,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
123,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
124,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,a,2023_complementation1
125,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
126,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
127,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,b,2023_complementation1
128,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,c,2023_complementation1
129,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
132,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
133,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
134,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
135,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
136,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
138,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
139,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
143,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,b,2023_complementation1
144,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
145,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
146,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
147,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
148,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
149,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
153,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
154,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
155,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,b,2023_complementation1
156,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,b,2023_complementation1
157,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,b,2023_complementation1
158,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,a,2023_complementation1
159,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
162,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
163,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
164,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
165,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
166,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
167,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
168,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
169,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
172,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
173,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,a,2023_complementation1
174,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,b,2023_complementation1
175,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
176,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,d,2023_complementation1
177,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
178,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
179,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,d,2023_complementation1
182,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
184,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
185,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
186,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,c,2023_complementation1
187,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
188,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,b,2023_complementation1
